id,method,setting_id,batch_number
1,Debiased PC,1,1
2,Debiased PC,1,2
3,Debiased PC,1,3
4,Debiased PC,1,4
5,Debiased PC,1,5
6,Debiased PC,1,6
7,Debiased PC,1,7
8,Debiased PC,1,8
9,Debiased PC,1,9
10,Debiased PC,1,10
11,Debiased PC,1,11
12,Debiased PC,1,12
13,Debiased PC,1,13
14,Debiased PC,1,14
15,Debiased PC,1,15
16,Debiased PC,1,16
17,Debiased PC,1,17
18,Debiased PC,1,18
19,Debiased PC,1,19
20,Debiased PC,1,20
21,Debiased PC,1,21
22,Debiased PC,1,22
23,Debiased PC,1,23
24,Debiased PC,1,24
25,Debiased PC,1,25
26,Debiased PC,1,26
27,Debiased PC,1,27
28,Debiased PC,1,28
29,Debiased PC,1,29
30,Debiased PC,1,30
31,Debiased PC,1,31
32,Debiased PC,1,32
33,Debiased PC,1,33
34,Debiased PC,1,34
35,Debiased PC,1,35
36,Debiased PC,1,36
37,Debiased PC,1,37
38,Debiased PC,1,38
39,Debiased PC,1,39
40,Debiased PC,1,40
41,Debiased PC,1,41
42,Debiased PC,1,42
43,Debiased PC,1,43
44,Debiased PC,1,44
45,Debiased PC,1,45
46,Debiased PC,1,46
47,Debiased PC,1,47
48,Debiased PC,1,48
49,Debiased PC,1,49
50,Debiased PC,1,50
51,Debiased PC,1,51
52,Debiased PC,1,52
53,Debiased PC,1,53
54,Debiased PC,1,54
55,Debiased PC,1,55
56,Debiased PC,1,56
57,Debiased PC,1,57
58,Debiased PC,1,58
59,Debiased PC,1,59
60,Debiased PC,1,60
61,Debiased PC,1,61
62,Debiased PC,1,62
63,Debiased PC,1,63
64,Debiased PC,1,64
65,Debiased PC,1,65
66,Debiased PC,1,66
67,Debiased PC,1,67
68,Debiased PC,1,68
69,Debiased PC,1,69
70,Debiased PC,1,70
71,Debiased PC,1,71
72,Debiased PC,1,72
73,Debiased PC,1,73
74,Debiased PC,1,74
75,Debiased PC,1,75
76,Debiased PC,1,76
77,Debiased PC,1,77
78,Debiased PC,1,78
79,Debiased PC,1,79
80,Debiased PC,1,80
81,Debiased PC,1,81
82,Debiased PC,1,82
83,Debiased PC,1,83
84,Debiased PC,1,84
85,Debiased PC,1,85
86,Debiased PC,1,86
87,Debiased PC,1,87
88,Debiased PC,1,88
89,Debiased PC,1,89
90,Debiased PC,1,90
91,Debiased PC,1,91
92,Debiased PC,1,92
93,Debiased PC,1,93
94,Debiased PC,1,94
95,Debiased PC,1,95
96,Debiased PC,1,96
97,Debiased PC,1,97
98,Debiased PC,1,98
99,Debiased PC,1,99
100,Debiased PC,1,100
101,Oracle PC,1,1
102,Oracle PC,1,2
103,Oracle PC,1,3
104,Oracle PC,1,4
105,Oracle PC,1,5
106,Oracle PC,1,6
107,Oracle PC,1,7
108,Oracle PC,1,8
109,Oracle PC,1,9
110,Oracle PC,1,10
111,Oracle PC,1,11
112,Oracle PC,1,12
113,Oracle PC,1,13
114,Oracle PC,1,14
115,Oracle PC,1,15
116,Oracle PC,1,16
117,Oracle PC,1,17
118,Oracle PC,1,18
119,Oracle PC,1,19
120,Oracle PC,1,20
121,Oracle PC,1,21
122,Oracle PC,1,22
123,Oracle PC,1,23
124,Oracle PC,1,24
125,Oracle PC,1,25
126,Oracle PC,1,26
127,Oracle PC,1,27
128,Oracle PC,1,28
129,Oracle PC,1,29
130,Oracle PC,1,30
131,Oracle PC,1,31
132,Oracle PC,1,32
133,Oracle PC,1,33
134,Oracle PC,1,34
135,Oracle PC,1,35
136,Oracle PC,1,36
137,Oracle PC,1,37
138,Oracle PC,1,38
139,Oracle PC,1,39
140,Oracle PC,1,40
141,Oracle PC,1,41
142,Oracle PC,1,42
143,Oracle PC,1,43
144,Oracle PC,1,44
145,Oracle PC,1,45
146,Oracle PC,1,46
147,Oracle PC,1,47
148,Oracle PC,1,48
149,Oracle PC,1,49
150,Oracle PC,1,50
151,Oracle PC,1,51
152,Oracle PC,1,52
153,Oracle PC,1,53
154,Oracle PC,1,54
155,Oracle PC,1,55
156,Oracle PC,1,56
157,Oracle PC,1,57
158,Oracle PC,1,58
159,Oracle PC,1,59
160,Oracle PC,1,60
161,Oracle PC,1,61
162,Oracle PC,1,62
163,Oracle PC,1,63
164,Oracle PC,1,64
165,Oracle PC,1,65
166,Oracle PC,1,66
167,Oracle PC,1,67
168,Oracle PC,1,68
169,Oracle PC,1,69
170,Oracle PC,1,70
171,Oracle PC,1,71
172,Oracle PC,1,72
173,Oracle PC,1,73
174,Oracle PC,1,74
175,Oracle PC,1,75
176,Oracle PC,1,76
177,Oracle PC,1,77
178,Oracle PC,1,78
179,Oracle PC,1,79
180,Oracle PC,1,80
181,Oracle PC,1,81
182,Oracle PC,1,82
183,Oracle PC,1,83
184,Oracle PC,1,84
185,Oracle PC,1,85
186,Oracle PC,1,86
187,Oracle PC,1,87
188,Oracle PC,1,88
189,Oracle PC,1,89
190,Oracle PC,1,90
191,Oracle PC,1,91
192,Oracle PC,1,92
193,Oracle PC,1,93
194,Oracle PC,1,94
195,Oracle PC,1,95
196,Oracle PC,1,96
197,Oracle PC,1,97
198,Oracle PC,1,98
199,Oracle PC,1,99
200,Oracle PC,1,100
201,Plug-in PC,1,1
202,Plug-in PC,1,2
203,Plug-in PC,1,3
204,Plug-in PC,1,4
205,Plug-in PC,1,5
206,Plug-in PC,1,6
207,Plug-in PC,1,7
208,Plug-in PC,1,8
209,Plug-in PC,1,9
210,Plug-in PC,1,10
211,Plug-in PC,1,11
212,Plug-in PC,1,12
213,Plug-in PC,1,13
214,Plug-in PC,1,14
215,Plug-in PC,1,15
216,Plug-in PC,1,16
217,Plug-in PC,1,17
218,Plug-in PC,1,18
219,Plug-in PC,1,19
220,Plug-in PC,1,20
221,Plug-in PC,1,21
222,Plug-in PC,1,22
223,Plug-in PC,1,23
224,Plug-in PC,1,24
225,Plug-in PC,1,25
226,Plug-in PC,1,26
227,Plug-in PC,1,27
228,Plug-in PC,1,28
229,Plug-in PC,1,29
230,Plug-in PC,1,30
231,Plug-in PC,1,31
232,Plug-in PC,1,32
